iter,state0,state1,state2
0,278,72,50
1,282,57,61
2,277,63,60
3,275,63,62
4,274,72,54
5,272,78,50
6,254,97,49
7,235,121,44
8,210,153,37
9,200,170,30
10,186,194,20
11,169,203,28
12,150,228,22
13,139,246,15
14,114,275,11
15,92,301,7
16,83,313,4
17,74,321,5
18,67,329,4
19,58,337,5
20,52,344,4
21,47,340,13
22,43,352,5
23,37,359,4
24,31,367,2
25,26,373,1
26,23,376,1
27,20,379,1
28,17,382,1
29,15,384,1
30,14,385,1
31,13,374,13
32,13,385,2
33,13,386,1
34,13,386,1
35,13,386,1
36,13,386,1
37,13,386,1
38,13,386,1
39,13,386,1
40,13,386,1
